Date_Time,Latitude,Longitude
20170528210951,27.30587833,-84.15399167
20170528210952,27.30587833,-84.15399167
20170528211052,27.30589572,-84.15385205
20170528211152,27.30591311,-84.15371243
20170528211252,27.30593049,-84.15357281
20170528211352,27.30594788,-84.15343319
20170528211452,27.30596527,-84.15329357
20170528211552,27.30598266,-84.15315395
20170528211652,27.30600005,-84.15301433
20170528211752,27.30601743,-84.15287471
20170528211852,27.30603482,-84.15273509
20170528211952,27.30605221,-84.15259547
20170528212052,27.3060696,-84.15245585
20170528212152,27.30608699,-84.15231623
20170528212252,27.30610437,-84.15217661
20170528212352,27.30612176,-84.15203699
20170528212452,27.30613915,-84.15189737
20170528212552,27.30615654,-84.15175775
20170528212652,27.30617393,-84.15161813
20170528212752,27.30619131,-84.15147851
20170528212852,27.3062087,-84.15133889
20170528212952,27.30622609,-84.15119927
20170528210851,27.30623916,-84.15395292
20170528213052,27.30624348,-84.15105965
20170528213152,27.30626087,-84.15092003
20170528213252,27.30627825,-84.15078041
20170528213352,27.30629564,-84.15064079
20170528213452,27.30631303,-84.15050117
20170528213552,27.30633042,-84.15036155
20170528213652,27.3063478,-84.15022193
20170528213752,27.30636519,-84.15008231
20170528213852,27.30638258,-84.14994269
20170528213952,27.30639997,-84.14980307
20170528214052,27.30641736,-84.14966345
20170528214152,27.30643474,-84.14952383
20170528214252,27.30645213,-84.14938421
20170528214352,27.30646952,-84.14924459
20170528214452,27.30648691,-84.14910497
20170528214552,27.3065043,-84.14896535
20170528214652,27.30652168,-84.14882573
20170528214752,27.30653907,-84.14868611
20170528214852,27.30655646,-84.14854649
20170528214952,27.30657385,-84.14840687
20170528215052,27.30659124,-84.14826725
20170528210751,27.3066,-84.15391417
20170528215152,27.30660862,-84.14812763
20170528215252,27.30662601,-84.14798802
20170528215352,27.3066434,-84.1478484
20170528215452,27.30666079,-84.14770878
20170528215552,27.30667818,-84.14756916
20170528215652,27.30669556,-84.14742954
20170528215752,27.30671295,-84.14728992
20170528215852,27.30673034,-84.1471503
20170528215952,27.30674773,-84.14701068
20170528220052,27.30676512,-84.14687106
20170528220152,27.3067825,-84.14673144
20170528220252,27.30679989,-84.14659182
20170528220352,27.30681728,-84.1464522
20170528220452,27.30683467,-84.14631258
20170528220552,27.30685206,-84.14617296
20170528220652,27.30686944,-84.14603334
20170528220752,27.30688683,-84.14589372
