tag,datetime,date,time,hour,minute,year,month,type,ours,Species,TL,AG,CG,Cath,Condition,Fate,Comments,Recaptures
15224,03JUN17:21:24:28,06/03/2017,21:24:28,21,24,2017,6,vmt,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
15224,03JUN17:21:29:42,06/03/2017,21:29:42,21,29,2017,6,vmt,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
15224,03JUN17:21:31:29,06/03/2017,21:31:29,21,31,2017,6,vmt,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
15224,03JUN17:22:00:00,06/03/2017,22:00:00,22,0,2017,6,vmt,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
15224,03JUN17:22:05:10,06/03/2017,22:05:10,22,5,2017,6,vmt,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
15224,03JUN17:22:10:54,06/03/2017,22:10:54,22,10,2017,6,vmt,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
15224,03JUN17:22:14:23,06/03/2017,22:14:23,22,14,2017,6,vmt,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
15224,03JUN17:22:20:06,06/03/2017,22:20:06,22,20,2017,6,vmt,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
15224,03JUN17:22:24:40,06/03/2017,22:24:40,22,24,2017,6,vmt,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
15224,04JUN17:00:53:45,06/04/2017,0:53:45,0,53,2017,6,vmt,1,RG,444,F,F,A,2,S,drumming loud. Feisty after surgery on deck. Cathy had eggs. Seaqualized to 150 ft,
15229,19MAY17:12:02:59,05/19/2017,12:02:59,12,2,2017,5,imp,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,20MAY17:07:15:19,05/20/2017,7:15:19,7,15,2017,5,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,20MAY17:07:17:27,05/20/2017,7:17:27,7,17,2017,5,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,20MAY17:07:18:39,05/20/2017,7:18:39,7,18,2017,5,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,20MAY17:07:19:59,05/20/2017,7:19:59,7,19,2017,5,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,04JUN17:09:52:51,06/04/2017,9:52:51,9,52,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,04JUN17:09:55:41,06/04/2017,9:55:41,9,55,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,04JUN17:09:57:39,06/04/2017,9:57:39,9,57,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,04JUN17:10:08:10,06/04/2017,10:08:10,10,8,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,04JUN17:10:10:08,06/04/2017,10:10:08,10,10,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,04JUN17:10:12:57,06/04/2017,10:12:57,10,12,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,05JUN17:06:04:48,06/05/2017,6:04:48,6,4,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,05JUN17:06:16:19,06/05/2017,6:16:19,6,16,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,05JUN17:06:21:02,06/05/2017,6:21:02,6,21,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,05JUN17:06:24:41,06/05/2017,6:24:41,6,24,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,05JUN17:06:28:19,06/05/2017,6:28:19,6,28,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,05JUN17:06:37:12,06/05/2017,6:37:12,6,37,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,05JUN17:06:39:52,06/05/2017,6:39:52,6,39,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15229,05JUN17:06:47:29,06/05/2017,6:47:29,6,47,2017,6,vmt,1,RG,635,F,F,Y,2,S,"Seaqualized to 100' video #3 on veho #7. Trouble with live feed at first then started working, kicking on the way down. Drumming on deck. Successful cathy sample.",
15516,,,,,,,,imp,,RG,481,F,F,Y,1,SS,"After incision, deflated and stomach went back in. Drumming. Yolked eggs and parasites for histology. Flipped in cradle-looks strong! Kicking on way down. 100ft seaqualizer release",
15517,03JUN17:13:02:47,06/03/2017,13:02:47,13,2,2017,6,imp,1,RG,510,F,F,Y,1,SS,"drumming, catheter eggs for histology. 50 ft seaqualize pre maturerelease",
15517,03JUN17:13:04:41,06/03/2017,13:04:41,13,4,2017,6,vmt,1,RG,510,F,F,Y,1,SS,"drumming, catheter eggs for histology. 50 ft seaqualize pre maturerelease",
15518,,,,,,,,imp,,RG,381,F,F,Y,2,,"drumming, catheter eggs for histology, seaqualized @ 100ft","RECAPTURED: 4/1/2017, event 2 fish #4. Released at surface, good condition. 12:26:55-15:28 time on deck"
15519,,,,,,,,imp,,RG,606,F,F,Y,2,,"parasites out of pore, catheter eggs for histology",
15520,,,,,,,,imp,,RG,493,F,F,Y,3,,catheter eggs for histology,
15521,,,,,,,,imp,,RG,557,F,F,Y,3,SB,"drumming, catheter eggs for histology, release not great- maybe saw on bottom. Seaqualized to 100 ft","recaptured 1/18/2017 Event 2, site= RG2, fish #29, no scar pictures on digital camera, catheter taken, kicking towards bottom, good release. No video. Heard on VR100 earlier before caught"
15522,,,,,,,,imp,,RG,659,F,F,Y,2,SS,"a little bit of blood inside mouth, feisty, catheter eggs for histology. Hear @ 17:28. Seaqualized @ 100ft","recaptured 1/18/2017 Event 2, site= RG2, fish #23, no noticeable scar, didn't know it was sonic tagged when on deck."
15523,19MAY17:18:44:54,05/19/2017,18:44:54,18,44,2017,5,imp,1,RG,689,F,F,Y,3,,"lot of gas released on incision. Seaqualized @ 50 ft, set it wrong intended to release @ 150ft. 363 cathy.","recaptured 11/11/2016, event 3, site=RG4, fish #18, noticeable surgery scar, pictures on digital camera. Seaqualize release, didn't see release on camera"
