File,Date,Time,Count,0:05,,,,,
305,1/4/17 6:20,,0,,,,,,
306,1/4/17 6:25,,0,,,,,,
307,1/4/17 6:30,,0,,,,,,
308,1/4/17 6:35,,0,,,,,,
309,1/4/17 6:40,,0,,,,,,
310,1/4/17 6:45,,0,,,,,,
311,1/4/17 6:50,,0,,,,,,
312,1/4/17 6:55,,0,,,,,,
313,1/4/17 7:00,,0,,,,,,
314,1/4/17 7:05,,0,,,,,,
315,1/4/17 7:10,,0,,,,,,
316,1/4/17 7:15,,0,,,,,,
317,1/4/17 7:20,,0,,,,,,
318,1/4/17 7:25,,0,,,,,,
319,1/4/17 7:30,,0,,,,,,
320,1/4/17 7:35,,0,,,,,,
321,1/4/17 7:40,,0,,,,,,
322,1/4/17 7:45,,0,,,,,,
323,1/4/17 7:50,,0,,,,,,
324,1/4/17 7:55,,0,,,,,,
325,1/4/17 8:00,,0,,,,,,
326,1/4/17 8:05,,0,,,,,,
327,1/4/17 8:10,,0,,,,,,
328,1/4/17 8:15,,0,,,,,,
329,1/4/17 8:20,,0,,,,,,
330,1/4/17 8:25,,0,,,,,,
331,1/4/17 8:30,,0,,,,,,
332,1/4/17 8:35,,0,,,,,,
333,1/4/17 8:40,,0,,,,,,
334,1/4/17 8:45,,0,,,,,,
335,1/4/17 8:50,,0,,,,,,
336,1/4/17 8:55,,0,,,,,,
337,1/4/17 9:00,,0,,,,,,
338,1/4/17 9:05,,0,,,,,,
339,1/4/17 9:10,,0,,,,,,
340,1/4/17 9:15,,0,,,,,,
341,1/4/17 9:20,,0,,,,,,
342,1/4/17 9:25,,0,,,,,,
343,1/4/17 9:30,,1,3.35E+01,,,,,
344,1/4/17 9:35,,0,,,,,,
345,1/4/17 9:40,,0,,,,,,
346,1/4/17 9:45,,0,,,,,,
347,1/4/17 9:50,,0,,,,,,
348,1/4/17 9:55,,0,,,,,,
349,1/4/17 10:00,,0,,,,,,
350,1/4/17 10:05,,0,,,,,,
351,1/4/17 10:10,,0,,,,,,
352,1/4/17 10:15,,0,,,,,,
353,1/4/17 10:20,,0,,,,,,
354,1/4/17 10:25,,0,,,,,,
355,1/4/17 10:30,,0,,,,,,
356,1/4/17 10:35,,0,,,,,,
357,1/4/17 10:40,,0,,,,,,
358,1/4/17 10:45,,0,,,,,,
359,1/4/17 10:50,,0,,,,,,
360,1/4/17 10:55,,0,,,,,,
361,1/4/17 11:00,,0,,,,,,
362,1/4/17 11:05,,0,,,,,,
363,1/4/17 11:10,,0,,,,,,
364,1/4/17 11:15,,0,,,,,,
365,1/4/17 11:20,,0,,,,,,
366,1/4/17 11:25,,0,,,,,,
367,1/4/17 11:30,,0,,,,,,
368,1/4/17 11:35,,0,,,,,,
369,1/4/17 11:40,,0,,,,,,
370,1/4/17 11:45,,0,,,,,,
371,1/4/17 11:50,,0,,,,,,
372,1/4/17 11:55,,0,,,,,,
373,1/4/17 12:00,,0,,,,,,
374,1/4/17 12:05,,0,,,,,,
375,1/4/17 12:10,,0,,,,,,
376,1/4/17 12:15,,0,,,,,,
377,1/4/17 12:20,,0,,,,,,
378,1/4/17 12:25,,0,,,,,,
379,1/4/17 12:30,,0,,,,,,
380,1/4/17 12:35,,0,,,,,,
381,1/4/17 12:40,,0,,,,,,
382,1/4/17 12:45,,0,,,,,,
383,1/4/17 12:50,,0,,,,,,
384,1/4/17 12:55,,0,,,,,,
385,1/4/17 13:00,,0,,,,,,
386,1/4/17 13:05,,0,,,,,,
387,1/4/17 13:10,,0,,,,,,
388,1/4/17 13:15,,0,,,,,,
389,1/4/17 13:20,,0,,,,,,
390,1/4/17 13:25,,0,,,,,,
391,1/4/17 13:30,,0,,,,,,
392,1/4/17 13:35,,0,,,,,,
393,1/4/17 13:40,,0,,,,,,
394,1/4/17 13:45,,0,,,,,,
395,1/4/17 13:50,,0,,,,,,
396,1/4/17 13:55,,0,,,,,,
397,1/4/17 14:00,,0,,,,,,
398,1/4/17 14:05,,0,,,,,,
399,1/4/17 14:10,,0,,,,,,
400,1/4/17 14:15,,0,,,,,,
401,1/4/17 14:20,,0,,,,,,
402,1/4/17 14:25,,0,,,,,,
403,1/4/17 14:30,,0,,,,,,
404,1/4/17 14:35,,0,,,,,,
405,1/4/17 14:40,,0,,,,,,
406,1/4/17 14:45,,0,,,,,,
407,1/4/17 14:50,,0,,,,,,
408,1/4/17 14:55,,0,,,,,,
409,1/4/17 15:00,,0,,,,,,
410,1/4/17 15:05,,0,,,,,,
411,1/4/17 15:10,,0,,,,,,
412,1/4/17 15:15,,0,,,,,,
413,1/4/17 15:20,,0,,,,,,
414,1/4/17 15:25,,0,,,,,,
415,1/4/17 15:30,,0,,,,,,
416,1/4/17 15:35,,0,,,,,,
417,1/4/17 15:40,,0,,,,,,
418,1/4/17 15:45,,0,,,,,,
419,1/4/17 15:50,,0,,,,,,
420,1/4/17 15:55,,0,,,,,,
421,1/4/17 16:00,,0,,,,,,
422,1/4/17 16:05,,0,,,,,,
423,1/4/17 16:10,,0,,,,,,
424,1/4/17 16:15,,0,,,,,,
425,1/4/17 16:20,,0,,,,,,
426,1/4/17 16:25,,0,,,,,,
427,1/4/17 16:30,,0,,,,,,
428,1/4/17 16:35,,0,,,,,,
429,1/4/17 16:40,,0,,,,,,
430,1/4/17 16:45,,0,,,,,,
431,1/4/17 16:50,,0,,,,,,
432,1/4/17 16:55,,0,,,,,,
433,1/4/17 17:00,,0,,,,,,
434,1/4/17 17:05,,0,,,,,,
435,1/4/17 17:10,,0,,,,,,
436,1/4/17 17:15,,0,,,,,,
437,1/4/17 17:20,,0,,,,,,
438,1/4/17 17:25,,0,,,,,,
439,1/4/17 17:30,,0,,,,,,
440,1/4/17 17:35,,0,,,,,,
441,1/4/17 17:40,,0,,,,,,
442,1/4/17 17:45,,0,,,,,,
443,1/4/17 17:50,,0,,,,,,
444,1/4/17 17:55,,0,,,,,,
445,1/4/17 18:00,,0,,,,,,
446,1/4/17 18:05,,0,,,,,,
447,1/4/17 18:10,,0,,,,,,
448,1/4/17 18:15,,0,,,,,,
449,1/4/17 18:20,,0,,,,,,
450,1/4/17 18:25,,0,,,,,,
451,1/4/17 18:30,,0,,,,,,
452,1/4/17 18:35,,0,,,,,,
453,1/4/17 18:40,,0,,,,,,
454,1/4/17 18:45,,0,,,,,,
455,1/4/17 18:50,,0,,,,,,
456,1/4/17 18:55,,0,,,,,,
457,1/4/17 19:00,,0,,,,,,
458,1/4/17 19:05,,0,,,,,,
459,1/4/17 19:10,,0,,,,,,
460,1/4/17 19:15,,0,,,,,,
461,1/4/17 19:20,,0,,,,,,
462,1/4/17 19:25,,0,,,,,,
463,1/4/17 19:30,,0,,,,,,
464,1/4/17 19:35,,0,,,,,,
465,1/4/17 19:40,,0,,,,,,
466,1/4/17 19:45,,1,4.92E+01,,,,,
467,1/4/17 19:50,,0,,,,,,
468,1/4/17 19:55,,0,,,,,,
469,1/4/17 20:00,,0,,,,,,
470,1/4/17 20:05,,1,4.25E+00,,,,,
471,1/4/17 20:10,,0,,,,,,
472,1/4/17 20:15,,0,,,,,,
473,1/4/17 20:20,,0,,,,,,
474,1/4/17 20:25,,0,,,,,,
475,1/4/17 20:30,,0,,,,,,
